Name,Description,Deadline,Application_url,Eligibility
AT&T K-12 Connected Learning Program,"AT&T has made a $10 million commitment to help at-risk students participate in connected learning by providing free mobile Wi-Fi hotspots and internet service. Deadline: January 11, 2021","Deadline: January 11, 2021",https://att.connectednation.org/s3/connectedlearning,0
USDA FY 2021 Farm to School Grants,"The Richard B. Russell National School Lunch Act (NSLA) establishes a Farm to School Program in order to assist eligible entities, through grants and technical assistance, in implementing farm to school programs that improve access to local foods in eligible schools. Deadline: January 8, 2021","Deadline: January 8, 2021",https://www.grants.gov/web/grants/view-opportunity.html?oppId=329449,0
Kinder Morgan Foundation Education Grants,"In an effort to support tomorrow’s leaders, the Kinder Morgan Foundation funds programs that support the academic and artistic growth of young people. Eligible programs must benefit K-12 youth in communities where Kinder Morgan operates. Areas of focus are academic programming (including tutoring) and arts education, and grant amounts range from $1,000 to $5,000. Deadline: the 10th of every month.",Deadline: the 10th of every month,https://www.kindermorgan.com/community/,1
My Brother’s Keeper Community Challenge Competition,"The Obama Foundation recently announced that it will launch a competition for community-based organizations who want to reduce youth violence and increase the kind of mentoring that can change lives for young men of color. Winners will work with teams of experts to support planning, implementation, and infrastructure development, and they’ll also get matching funds to hire a local project lead and planning grants of up to $500,000 to help jump-start initiatives and raise additional resources. The RFP is open to organizations in the 250 communities who accepted President Obama's My Brother's Keeper Community Challenge. Deadline: TBA.",Deadline: TBA,https://www.obama.org/mbka/competition/,0
NEW: Gro More Grassroots Grants,"The Scotts Miracle-Gro Foundation and KidsGardening are offering 175 grants awards worth a total of $100,000 to fund the development and expansion of youth gardening programs. Competitive applicants should emphasize their plans for ensuring the sustainability of their programming and program financing. All nonprofits and tax exempt organizations (i.e., schools) within the U.S. and U.S. territories are eligible to apply.
Deadline: February 15, 2019.","Deadline: February 15, 2019",https://kidsgardening.org/2019-gromore-grassroots-grant/,0
The Calvin K. Kazanjian Economics Foundation Grants,"The Calvin K. Kazanjian Economics Foundation is dedicated to increasing economic literacy and awards grants to organizations or groups that work to achieve that goal. Applicants should address the need for economic education, new methods of economic education, and the general dissemination of economic education in their proposals. The foundation is more interested in projects with national solutions, rather than local or regional. There is no application form, but applicants should email, fax, or mail a proposal following the criteria found on the website. Deadline: February 15 and September 15, annually.","Deadline: February 15 and September 15, annually",http://www.kazanjian.org/grants/apply,0
New: UL Innovation Education Award,"UL Innovative Education is offering grant awards to education organizations using STEM education to address environmental challenges in their communities. Competitive applicants use STEM education to both promote sustainability and to empower young people. U.S. and Canadian nonprofit 501(c)(3) organizations serving K-12 students are eligible to apply. Deadline: March 12, 2019","Deadline: March 12, 2019",http://ulinnovationeducation.naaee.net/application#tab-97-1,0
Mazda Foundation Education Grants,"The Mazda Foundation is offering grants to nonprofits with programs emphasizing education and literacy, environmental conservation, cultural education, social justice, or scientific research. Mazda prioritizes organizations in areas where they have offices (Irvine, CA; Bridgewater, NJ; Chicago, IL; Sugarland, TX; and Jacksonville, FL). Applicants who submit a project of interest to Mazda will need to send a formal proposal. If interested, Mazda may schedule a meeting for further discussion. Applications accepted May 1 to July 1, annually.","Applications accepted May 1 to July 1, annually",http://www.mazdafoundation.org/grant-guidelines/,1
New Earth Foundation Education Grants,"The New Earth Foundation (NEF) prioritizes funding nonprofit organizations with focus on arts, environment, social issues, and education. Before being able to complete an application, grant seekers must send a Letter of Inquiry to NEF, describing your project. The NEF Board of Directors will review the letters and determine whether you can submit a Grant Application. Deadline: July 1, annually.","Deadline: July 1, annually",http://www.newearthfoundation.org/apply.html,1
SPIE Education Outreach and Sustaining Grants,"The International Society for Optics and Photonics (SPIE) provides grants to projects relating to optics and photonics, as well as STEM projects involving optics and photonics. Applicants must display “potential to impact students and increase optics and photonics awareness” and will be judged on that criteria among others. Organizations that receive Education Outreach Grants twice in five years may only apply for a Sustaining Grant. SPIE grants have limits on what they can be used for. Deadline: May 31, annually.","Deadline: May 31, annually",http://spie.org/education/education-outreach-resources/education-outreach-grants?SSO=1,0
ecoTech Grants,"The Captain Plant Foundation (CPF), with support from the Voya Financial Foundation, is sponsoring grants aimed at combining technology and ecology. ecoTech Grants are trying to end the idea that “students needed to choose between ‘the screen’ or ‘the green’” and can instead combine the two to combat today’s challenges. Applicants should have youth-led projects that tackle environmental problems through use of technology. Deadline: Applications accepted year-round in two cycles.",Deadline: Applications accepted year-round in two cycles,https://captainplanetfoundation.org/grants/ecotech/,0
Institute for Rural America Seize the Moment Grants,"The Institute for Rural America offers grants of up to $250 for nonprofit organizations working in rural areas who need to take quick action to address a cost that cannot be predicted or budgeted. When immediate action is necessary to address an unexpected challenge, threat, or opportunity, Seize the Moment grants enable organizations to respond effectively and quickly. This may include educational work, public events, and time specific projects. Deadline: Rolling, until funding for the year expires.","Rolling, until funding for the year expires",http://www.instituteruralamerica.org/html/seize_the_moment_grants.html,0
Brinker International Charitable Giving,"The Brinker International Foundation makes grants in the areas of health, social services, arts and education, and diversity. Programs and nonprofit organizations supported must work in communities served by Brinker International. The Foundation reviews requests on a rolling basis, and typically take four to six weeks to review. Deadline: Rolling.",Deadline: Rolling,http://www.brinker.com/company/givingback.asp#gui,1
Cornell Douglas Foundation Grants,"The Cornell Douglas Foundation offers small grants to non-profit organizations that work to advocate for environmental health and justice, promote stewardship, and encourage respect for sustainability. With grant amounts averaging $10,000, the Foundation supports programs in environmental health, sustainability, and education for elementary and high school students. Deadline: Rolling.",Deadline: Rolling,http://www.cornelldouglas.org/apply,0
Teaching Tolerance Educator Grants,"Teaching Tolerance support projects that “create affirming school climates and educate young people how to thrive in a diverse democracy.” Ranging from $500 to $10,000, grants fund projects at the school, classroom, and district levels. Projects at the school and district levels should focus on improving school climate, responding to and preventing incidents of hate, and embracing principles of tolerance and inclusion. At the classroom level, grants should help teachers promote empathy and kindness, positive identity development, and critical thinking. Deadline: Rolling.",Deadline: Rolling,https://www.tolerance.org/about/educator-grant-guidelines,0
Waste Management Charitable Contributions,"Waste Management, Inc. gives to organizations and programs that preserve and enhance natural resources; in particular, grants prioritize programs that emphasize environmental education, where middle and high schools can learn about the importance of environmental stewardship and responsibility. Examples include environmental and science related projects, science fairs, earth day projects, and others. Award amounts vary. Deadline: Rolling.",Deadline: Rolling,http://www.wm.com/about/community/charitable-giving.jsp,0
Costco Wholesale Grants,"The Costco Charitable Contributions Committee oversees charitable donations to nonprofit organizations focusing on supporting children, education, and health and human services. Award amounts vary, and previous grants have gone to organizations such as United Way, Children’s Miracle Network Hospitals, and the Red Cross. Grant-giving focuses on communities in the markets where Costco does business (see the website for a more comprehensive list). Deadline: Rolling.",Deadline: Rolling,https://www.costco.com/charitable-giving.html,1
Sidney Stern Memorial Trust Grants,"The Sidney Stern Memorial Trust funds projects by charitable, scientific, medical, and educational organizations. Grants are typically evaluated on their ability to demonstrate a broad scope of service that have made a significant effects on target populations and contribute substantially to general welfare. Deadline: Rolling.",Deadline: Rolling,http://www.sidneysternmemorialtrust.org/,1
The Barney Family Foundation Grants,"The Barney Family Foundation makes grants of up to $50,000 in the educational field, particularly those that benefit children in grades K-8, with emphasis on creating opportunities for better education. The Foundation seeks original ideas with well-outlined plans for project implementation that will lead to tangible, replicable improvements in children’s experiences. Grant-seeking organizations may work directly with children and families or may work on research, policy, and advocacy that demonstrably improves the lives of young people. Deadline: September 30, annually.","Deadline: September 30, annually",http://barneyfamilyfoundation.org/grants.html,1
Kopp Family Foundation Grants,"The primary goals of the Kopp Family Foundation are to “help individuals achieve success by continuing their education; support non-profit organizations that encourage youth development, address women’s issues and provide for the care and quality of life for the elderly; and provide emergency assistance in the form of shelter and transportation for those in need.” The Foundation funds general operations, specific programs, and capital campaigns. Previous grants (ranging from $250 to $5,000) have gone to emergency shelters, community centers, and more. Deadline: Rolling.",Deadline: Rolling,http://www.koppinvestments.com/Pages/Foundation.html,0
Oriental Trading Company Education Grants,"The Oriental Trading Company Giving program aims to enrich the lives of children through education, youth programming, and healthcare and human services. Eligible organizations include 501(c)(3) tax exempt organizations and public schools, colleges, and universities. Deadline: Rolling.",Deadline: Rolling,https://orientaltrading.requestitem.com/,1
Sarah Scaife Foundation,"The Sarah Scaife Foundation primarily seeks to fund public policy programs that deal with major world issues, both domestic and international. Past funding has gone to education-focused research programs, research housed at colleges and universities, foundations associated with institutions of high learning, and school districts. Interested parties must be located in the United States, and funding will not go toward capital campaigns, building projects, endowments, or government agencies. Deadline: Rolling.",Deadline: Rolling,http://www.scaife.com/sarah.html,0
Amgen Foundation Science Education Grants,"With a mission to inspire future innovators and inventors, the Amgen Foundation makes grants to nonprofit organizations that advance scientific education at local and national levels. Two main funding priorities are professional development opportunities in math and science for teachers, and pivotal hands-on science experience for students. Award amounts range from $10,000 to multi-million dollar grants. Deadline: Rolling.",Deadline: Rolling,https://www.amgen.com/responsibility/grants-and-giving/amgen-foundation-grants/,0
Change Happens Foundation Grants,"The Change Happens Foundation seeks to fund innovative applicants and ideas with proven, high-level impact across three main areas: science, the environment, and education. Recent awards have gone to a program that offers nutrition and cooking education for parents and families, a program that embraces technology to improve educational outcomes for young people in low-income communities, and a program that provides outdoor environmental learning to students who would not otherwise have similar opportunities. Interested organizations should submit a letter of inquiry prior to their complete proposal. Deadline: Rolling.",Deadline: Rolling,http://changehappens.us/HowToApply,1
Astellas USA Foundation Education Grants,"The Astellas USA Foundation offers awards to mission-driven organizations who submit proposals across one of three areas: health and well-being, STEM education, and disaster response. In the area of STEM education, the process will prioritize applications that will have a direct impact in exposing students to STEM-related careers and providing hands-on experiences. Previous awards have gone to online workshops and afterschool enrichment programs. Deadline: Rolling.",Deadline: Rolling,https://www.astellasusafoundation.org/GrantApplication.html#Inclusions,1
Guitar Center Music Education Grants,"The Guitar Center believes that music “inspires creativity and personal expression, builds self-esteem and teaches cooperation.” To that end, Guitar Center considers requests from 501(c)(3) organizations that support music education for all young people. Deadline: Rolling.",Deadline: Rolling,https://www.guitarcenter.com/pages/corporate-giving,0
Public Welfare Foundation Youth Justice Grants,"The Public Welfare Foundation offers grants to groups that work to advance fair, effective, community-based justice for all youth across the country, particularly those geared towards fighting the criminalization and incarceration of youth of color. The Foundation offers funding towards various types of programs, including those that: “advance state policy reforms that dramatically restrict youth incarceration, abandon the prison model, and adopt community-based approaches for youth in the juvenile justice system; end the practice of trying, sentencing, and incarcerating youth in the adult criminal justice system; support innovative strategies to counter structural racism in the juvenile justice system, with a particular focus on front-end reforms.” Interested organizations must send a letter of inquiry prior to submitting a complete proposal. Deadline: Rolling.",Deadline: Rolling,http://www.publicwelfare.org/youth-justice/,0
U.S. Soccer Foundation Safe Places to Play Grants,"The U.S. Soccer Foundation wants all children across the country to have the opportunity to play outside, particularly soccer. To that end, the Safe Places to Play grant seeks to transform unused community spaces into recreational havens for young people in underserved communities. Grants are intended to help organizations and communities cover the material costs of building those spaces in the categories of lighting, irrigation, construction, surfacing, and enhancement. Interested applicants must first submit a letter of interest before being asked to formally apply. Deadline: Rolling.",Deadline: Rolling,https://ussoccerfoundation.org/grants/,0
The Redwoods Group’s Charitable Giving,"The Redwoods Group offers grants to projects and programs that make young people safer. Particular target areas include aquatic safety, child sexual abuse prevention, employee safety, and emergency preparedness. Grants of up to $1,000 will go towards programs that enable safer practices, positively change safety behaviors, and increase education and awareness about risks. Sample projects include offering swim lessons to underserved populations, protecting children from sexual abuse, increasing employee safety at organizations that serve youth, and improving bullying prevention curriculum in schools. Particular preference is given to applicants that specifically support children who face highest risk, such as those in low-income communities. Deadline: Rolling.",Deadline: Rolling,http://www.redwoodsgroup.com/redwoods-giving/,0
National Cristina Foundation Donated Computers and Other Technology,"The National Cristina Foundation is focused on promoting the reuse of technology, and it enables donors of used computers and other electronic hardware to select a local charity or school to receive donated equipment. Nonprofits, schools, and public agencies manage their own reuse agendas to benefit people with disabilities, students at risk and the economically disadvantaged. You can apply for the foundation’s services by applying to become a partner. Deadline: Rolling.",Deadline: Rolling,https://www.cristina.org/become-partner/,0
Anthony Robbins Foundation Grants,"The Anthony Robbins Foundation supports a variety of outreach programs, but it is specifically dedicated to empowering and supporting organizations that advocate toward making a difference in the quality of life of people often left behind: inner-city youth, the homeless and hungry, the imprisoned population, senior citizens, and the disabled. Whether it’s through time, resources, talent, or monetary support, the Anthony Robbins Foundation is committed to giving value and power back to the individual’s life and create positive change in their lives. Deadline: Rolling.",Deadline: Rolling,https://www.anthonyrobbinsfoundation.org/support/grant-request/,0
Comprehensive School Safety Initiative Grants,"The Sidgmore Family Foundation offers grants to nonprofit organizations that work to improve the quality of education and develop creative solutions to social problems. Among others, previous projects have furthered gender equality in education, invested in early childhood education to close the achievement gap for underserved youth, worked to end teen dating violence and abuse, developed career and professional skills through internships and mentorship, and offered English language programs for immigrant families. Deadline: Rolling..",Deadline: Rolling.,http://www.sidgmorefoundation.com/#application_process,1
Farrell Family Foundation’s Education Grants,"The Farrell Family Foundation wants to create a better world by supporting initiatives in education, health, and the arts. The Foundation makes grants to 501(c)(3) organizations with a proven history of purpose and impact. The Education Grants focus on technology and ideally will serve underprivileged children by giving them the support and resources they need in order to fulfill their potential. Deadline: Rolling.",Deadline: Rolling,http://www.farrellfamilyfoundation.com/about/,0
The Standard Charitable Foundation Grants,"The Standard mission is to build communities and make positive impact by supporting programs that focus on health, disability and empowerment, cultural development, and educational advancement. The Standard believes that “the future health and well-being of our communities is in the hands of children, who are the workers, innovators, leaders and artists of the future.” To that end, the Foundation funds projects that equip children to lead successful, productive lives, focusing particularly on early childhood education and workforce development. Deadline: Rolling.",Deadline: Rolling,https://www.standard.com/individual/about/community,1
Voya Foundation Education Grants,"The Voya Foundation wants to empower youth by preparing them for a lifetime of financial stability and resilience and is offering grants to nonprofit organizations that promote the skills necessary for young people to compete in a 21st century workforce. The Foundation accepts proposals in two categories: organizations that promote early interest in STEM fields and offer innovative, exciting K-8 STEM opportunities, and organizations that provide financial literacy curricula to high school students, including topics such as student debt, credit, home ownership, and family needs. Deadline: Rolling.",Deadline: Rolling,http://corporate.voya.com/corporate-responsibility/investing-communities/voya-foundation-grants,1
Kars4Kids Small Grants,"Kars4Kids funds educational, developmental, and recognized programs for youth and their families. The foundation supports educational programming, school placement, tuition assistance, mentorship programs, cultural activities, weekend retreats, religious instruction, summer camps, recreation, and guidance counseling. Previous grants were used to fund Big Brothers Big Sisters of America, Companies to Classrooms, and St. Jude Children’s Research Hospital. Deadline: Rolling",Deadline: Rolling,http://www.kars4kidsgrants.org/,0
The Harry Chapin Foundation Education Grant,"The mission of the Harry Chapin Foundation is to support organizations that have demonstrated their ability to dramatically improve the lives and livelihood of people by helping them to become self-sufficient. The foundation focuses its grant making on community education programs, arts-in-education programs, and agricultural and environmental programs. Deadline: Rolling.",Deadline: Rolling,http://harrychapinfoundation.org/apply/,1
International Game Technology After School Advantage Program,The After School Advantage (ASA) Program strives to close the “Digital Divide” for disadvantaged children who do not have the means to access computers in today’s increasingly digital society. Its goal is to address the needs of underprivileged/at-risk children ages 5 to 18 with a meaningful yet fun learning experience during the critical afterschool hours in a safe environment. It does this by providing qualifying nonprofit community agencies and public schools with digital learning centers. Each digital learning center is unique in its design and specific to an organization’s custom needs. Deadline: Rolling.,Deadline: Rolling,https://www.igt.com/explore-igt/about-igt/global-responsibility/supporting-our-communities/after-school-advantage-program,0
Johnson Scholarship Foundation Grants,"The Johnson Scholarship Foundation makes grants through selected institutions that achieve its mission of assisting disadvantaged people to obtain education in order to become more independent and participate more fully in society. The foundation funds scholarship and other education programs that serve people in need of financial support. Programming is particularly focused on indigenous peoples, people with disabilities, and people who are socially and economically disadvantaged. Employment through education should be the ultimate goal.. Deadline: Rolling.",Deadline: Rolling,http://www.jsf.bz/apply.html,0
Ronald W. Burkle Foundation Education Grants,"The Ronald W. Burkle Foundation makes grants to programs that engage children in learning, advance scientific research, strengthen international understanding, foster worker’s rights, empowers underserved communities, and nurture the arts and architecture. Previous grants were used to fund youth outreach programs, health education projects for children and youth, teaching and mentoring programs for underserved children, and youth arts and athletic programs. Deadline: Rolling.",Deadline: Rolling,http://burklefoundation.com/request-a-grant/,0
Boeing Company Charitable Trust Education Grants,"Boeing intends to help students gain fundamental 21st century skills relevant to science, technology, engineering, and mathematics (STEM), such as the ability to think critically and solve problems, collaborate well, be creative, and communicate effectively.Boeing funds programs that improve the preparation of early caregivers and drive public awareness of the importance of early education. Boeing also supports school and teacher leadership programs that support educators in shifting their practices so that they are equipped to create learning environments that allow students to practice and acquire twenty-first century skills. Finally, Boeing funds problem-based learning opportunities related to STEM experiences and skills for students and their families. Deadline: Based upon location.",Deadline: Based upon location,http://www.boeing.com/principles/community-engagement.page#/education,0
The Lisa Libraries Book Donations,"The Lisa Libraries donates new children's books and small libraries to organizations that work with children in poor and underserved areas. Some of the libraries established have been at daycare centers, visiting areas in prisons for children of incarcerated parents, and afterschool programs. The Lisa Libraries has a strong interest in supporting small, grass-roots organizations. Organizations can write to The Lisa Libraries and include the following: information about the program, the number of children served, age range of children served, information about the socioeconomic status of the community served by the applicant organization (such as eligibility statistics for Title I and Federal School Lunch Program), and a breakdown of how the books would be used. Deadline: Rolling",Deadline: Rolling,http://www.lisalibraries.org/,0
The Home Depot Foundation’s Community Impact Grants,"In an effort to recognize the importance of local volunteers working to improve the physical health of their community, The Home Depot Foundation offers Community Impact Grants for repairs, refurbishments, weatherization, and modifications to low-income housing or community facilities, such as schools, community centers, or senior centers; and increasing energy-efficiency in these facilities. Projects that serve veterans and their families, either through repairing homes or improving a facility, or projects the involve veterans volunteering to help other veterans are considered. Deadline: Rolling.",Deadline: Rolling,http://homedepotfoundation.org/page/applying-for-a-grant,0
