,Eligibility,Name,Description,Link,Deadline
48,0,"Cooperative Agreements to USA Nonprofits, State and Local 
Governments, and IHEs to Assess En...","Cooperative agreements to USA nonprofit organizations, state and local governments, and IHEs for a pilot project to verify the effectiveness of health, safety, and energy procedures in lower-income households. Applicants are advised that required registrations may take...",https://texas.grantwatch.com//grant/192318/cooperative-agreements-to-usa-nonprofits-state-and-local-governments-and-ihes-to-assess-energy-and-safety-programs.html,2012/9/20
49,0,"Grants to USA, Canada, and International 
Researchers to Research Cardiac Disorders in Dogs","Grants of up to $50,000 to USA, Canada, and International investigators affiliated with institutions for research projects that advance canine health. Funding is intended to support research focused on cardiac disorders in dogs. Eligible projects must further the scien...",https://texas.grantwatch.com//grant/192833/grants-to-usa-canada-and-international-researchers-to-research-cardiac-disorders-in-dogs.html,2012/9/20
50,0,"In-Kind Services to USA Healthcare Providers
for Broadband and Connectivity Needs","In-kind services to USA nonprofit healthcare centers, medical schools, local health departments and agencies, hospitals, and consortia to improve internet connectivity and enhance the delivery of services. Funding is intended to increase the efficiency of health-relate...",https://texas.grantwatch.com//grant/154159/in-kind-services-to-usa-healthcare-providers-for-broadband-and-connectivity-needs.html,2004/1/21
51,0,"In-Kind Services to USA Nonprofit Health Centers 
for Improved Communications Technology","In-kind services to USA nonprofit healthcare centers, medical schools, local health departments and agencies, hospitals, and consortia to improve and upgrade communications technology. Funding is intended to support health service providers and improve their ability to...",https://texas.grantwatch.com//grant/185138/in-kind-services-to-usa-nonprofit-health-centers-for-improved-communications-technology.html,2004/1/21
52,0,"Grants to USA, Canada, and International Nonprofits, 
Agencies, For-Profits, and IHEs for Air...","Grants to USA, Canada, and International nonprofit organizations, government agencies, for-profit organizations, and educational organizations for air quality research. Applicants must submit a preliminary application before applying in full. Funding is intended for re...",https://texas.grantwatch.com//grant/188026/grants-to-usa-canada-and-international-nonprofits-agencies-for-profits-and-ihes-for-air-quality-research.html,2001/6/21
53,0,"Grants to USA State, Local, and Tribal Agencies, IHEs, Farming 
Cooperatives, and Agricultura...","Grants to USA and Territories state, local, and tribal agencies, IHEs, farming cooperatives, and agricultural producers for environmental projects. Applicants are advised that required registrations may take several weeks to complete. Funding is intended for a range of...",https://texas.grantwatch.com//grant/144030/grants-to-usa-state-local-and-tribal-agencies-ihes-farming-cooperatives-and-agricultural-producers-for-environmental-projects.html,11/30/20
54,1,"Grants to USA Nonprofits to 
Benefit Jewish Women and Girls","Grants to USA nonprofit organizations in eligible locations for social change initiatives. Funding is intended to benefit Jewish women and girls. Focus areas include education, economic empowerment, advocacy, social justice, and violence prevention. Programs serving wo...",https://texas.grantwatch.com//grant/176953/grants-to-usa-nonprofits-to-benefit-jewish-women-and-girls.html,12/31/20
55,0,"Grants to USA For-Profits and Nonprofits to Improve the Delivery 
of Social and Health Servic...",Grants to USA and territories for-profit and nonprofit entities to improve the delivery of social and health services to underserved populations. Applicants are advised that required registrations may take up to one month to complete. Funding is intended to promote rur...,https://texas.grantwatch.com//grant/147402/grants-to-usa-for-profits-and-nonprofits-to-improve-the-delivery-of-social-and-health-services-to-underserved-populations.html,2012/8/20
56,1,"Grants to USA Nonprofits, For-Profits, Agencies, and 
Tribes to Expand Internet Services in R...","Grants to USA nonprofit and for-profit organizations, government agencies, and tribal entities to increase the availability of internet services in rural communities throughout the country. Applicants are advised that required registrations must be completed prior to a...",https://texas.grantwatch.com//grant/179033/grants-to-usa-nonprofits-for-profits-agencies-and-tribes-to-expand-internet-services-in-rural-areas.html,12/23/20
57,0,"Grants to USA Agencies and Nonprofits to Address 
Social Justice and Inequity in the Health F...",Grants to USA and Territories public agencies and nonprofit organizations to address social justice and inequity in the health field. Applicants are required to submit a letter of intent prior to a full application. The program is intended to gather evidence about raci...,https://texas.grantwatch.com//grant/192794/grants-to-usa-agencies-and-nonprofits-to-address-social-justice-and-inequity-in-the-health-field.html,"04/07/21
LOI Date: 11/24/20"
58,0,"Grants and In-Kind Support to USA Rural and Small 
Community Libraries to Address Community I...","Grants of $3,000 and in-kind support to USA libraries in small and rural communities to address community issues, including the Coronavirus. The goal of the program is to prepare library workers for the expanding role of libraries. Funding is intended to assist librari...",https://texas.grantwatch.com//grant/140272/grants-and-in-kind-support-to-usa-rural-and-small-community-libraries-to-address-community-issues.html,2012/2/20
59,0,"Cooperative Agreement with a USA Nonprofit, IHE, Tribe, Agency,
or Hospital for Research in N...","Cooperative agreement with a USA nonprofit, IHE, Tribe, agency, or hospital for research in health and human services as related to non-urban communities across the nation. Applicants are advised that required registrations may take up to a month to complete. Research ...",https://texas.grantwatch.com//grant/175683/cooperative-agreement-with-a-usa-nonprofit-ihe-tribe-agency-or-hospital-for-research-in-non-urban-health-and-human-services.html,12/14/20
60,0,"Grants to USA Higher Education Institutions for 
the Training of Behavioral Health Profession...",Grants to USA and territories IHE medical certification programs to expand and develop the behavioral health workforce. Applicants are advised that required registrations may take several weeks to complete. Funding is intended to provide patients with greater access to...,https://texas.grantwatch.com//grant/142815/grants-to-usa-higher-education-institutions-for-the-training-of-behavioral-health-professionals.html,01/21/21
61,0,"Grants to USA IHEs to Promote 
Diversity in Health Care",Grants to USA institutions of higher education to promote diversity in public health and health care. Applicants are advised that required registrations may take up to one month to complete. Funding is intended to encourage students from underserved or underrepresented...,https://texas.grantwatch.com//grant/192722/grants-to-usa-ihes-to-promote-diversity-in-health-care.html,2001/7/21
62,1,"Competition for USA IHEs, Tribes, Agencies, and Nonprofits
to Develop Solutions to Sustain th...","Competition for USA IHEs, Tribes, agencies, and nonprofits to develop creative and/or technological solutions to keep businesses functional during the COVID-19 (Coronavirus) health crisis. Applicants are advised that required registrations may take several weeks to com...",https://texas.grantwatch.com//grant/192866/competition-for-usa-ihes-tribes-agencies-and-nonprofits-to-develop-solutions-to-sustain-the-economy-during-covid-.html,2012/3/20
63,0,"Grants to USA, Canada, and International Academic Centers
to Support a Fellowship Program Rel...","Grants to USA, Canada, and International academic centers to support a fellowship program for neurologists. Grant funds may be used for fellows' stipends, benefits, and travel. Fellowships are intended to increase the number of trained specialists in the area of Parkin...",https://texas.grantwatch.com//grant/192610/grants-to-usa-canada-and-international-academic-centers-to-support-a-fellowship-program-related-to-movement-disorders.html,2012/10/20
64,1,"Grant to a USA IHE to Provide Advanced 
Research Experience and Training",Grant to a USA public or private institution of higher education to provide research training to eligible individuals. Applicants are advised that required registrations may take up to several days to complete. Funding is intended for programs related to disability and...,https://texas.grantwatch.com//grant/187432/grant-to-a-usa-ihe-to-provide-advanced-research-experience-and-training.html,12/18/20
65,1,"Grant to a USA IHE to Train 
Researchers in Eligible Disciplines",Grant to a USA institution of higher education for research training programs in eligible disciplines. Applicants are advised that required registrations may take up to several days to complete. Funding is intended to support projects that offer PhDs and other qualifie...,https://texas.grantwatch.com//grant/187618/grant-to-a-usa-ihe-to-train-researchers-in-eligible-disciplines.html,12/18/20
66,1,"Grant to a USA IHE for Programs to Provide 
Research Experience and Training",Grant to a USA private or public institution of higher education to provide research experience and training to eligible individuals. Applicants are advised that required registrations may take up to several days to complete. Funding is intended for programs for rehabi...,https://texas.grantwatch.com//grant/187630/grant-to-a-usa-ihe-for-programs-to-provide-research-experience-and-training.html,12/18/20
67,0,"Grants to USA, Canada, and International IHEs, Agencies,
Nonprofits, and For-Profits for Phar...","Grants to USA, Canada, and International IHEs, agencies, nonprofits, and for-profits for research projects relating to the use of pharmaceuticals in children and pregnant women. Applicants are advised that required registrations may take several weeks to complete. Fund...",https://texas.grantwatch.com//grant/192419/grants-to-usa-canada-and-international-ihes-agencies-nonprofits-and-for-profits-for-pharmaceutical-research.html,2012/10/20
68,0,"Grants to USA, Canada, and International Agencies, For-Profits,
IHEs, and Nonprofits for Expl...","Grants to USA, Canada, and International agencies, for-profits, IHEs, and nonprofits for new research to develop better pharmaceuticals for children and pregnant women. Applicants are advised that required registrations may take several weeks to complete. Funding is in...",https://texas.grantwatch.com//grant/192420/grants-to-usa-canada-and-international-agencies-for-profits-ihes-and-nonprofits-for-exploratory-biomedical-research.html,2012/10/20
69,0,"Grants to USA Schools, Agencies, Tribes, Nonprofits, and Agricultural 
Producers to Increase ...","Grants to USA schools, government agencies, tribal organizations, nonprofit organizations, and agricultural producers for programs to increase access to local foods for eligible schools. Applicants are advised that required registrations may take three weeks to complet...",https://texas.grantwatch.com//grant/154171/grants-to-usa-schools-agencies-tribes-nonprofits-and-agricultural-producers-to-increase-access-to-local-foods-for-eligible-schools.html,2001/8/21
70,1,"Grants to USA Nonprofits, For-Profits, Educational Institutions, 
and Individuals to Improve ...","Grants to USA and Territories nonprofit organizations, for-profits, educational institutions, individuals, and others for projects that optimize energy efficiency in buildings throughout the country. A concept paper is required prior to submitting a full proposal. In a...",https://texas.grantwatch.com//grant/192891/grants-to-usa-nonprofits-for-profits-educational-institutions-and-individuals-to-improve-energy-efficiency-in-buildings.html,"03/03/21
LOI Date: 02/17/21"
71,0,"Cooperative Agreement to a USA Nonprofit, For-Profit, Tribe, Faith-Based 
Organization, IHE, ...","Cooperative Agreement to a USA nonprofit organization, for-profit, tribe, faith-based organization, IHE, agency, or hospital to improve rural health care. Applicants are advised that required registrations may take up to a month to finalize. The program is intended to ...",https://texas.grantwatch.com//grant/192966/cooperative-agreement-to-a-usa-nonprofit-for-profit-tribe-faith-based-organization-ihe-agency-or-hospital-to-improve-rural-health-care.html,12/21/20
72,0,"Grants to USA Nonprofits, For-Profits, Agencies, and IHEs
to Promote Self-Sufficiency for Ind...","Grants to USA nonprofit and for-profit organizations, agencies, tribal governments, and IHEs to develop technology and procedures that help promote self-sufficiency for individuals with disabilities. Special emphasis is placed on individuals with severe disabilities. F...",https://texas.grantwatch.com//grant/178040/grants-to-usa-nonprofits-for-profits-agencies-and-ihes-to-promote-self-sufficiency-for-individuals-with-disabilities.html,"12/21/20
LOI Date: 11/24/20"
73,0,"Cooperative Agreements to USA Nonprofits and For-Profits to Administer 
Technical Assistance ...","Cooperative agreements to USA nonprofit and for-profit entities, community-based and faith-based organizations, and tribes to administer technology and policy assistance to providers of remote health services. Applicants are advised that required registrations may take...",https://texas.grantwatch.com//grant/181105/cooperative-agreements-to-usa-nonprofits-and-for-profits-to-administer-technical-assistance-to-providers-of-remote-health-services.html,01/21/21
74,0,"Grants to USA Nonprofits, For-Profits, Agencies, and IHEs for
Research on the Inclusion of In...","Grants to USA nonprofit and for-profit organizations, agencies, tribal governments, and IHEs for research projects on the integration and inclusion of individuals with disabilities. Funding is intended for research activities that address issues such as family support,...",https://texas.grantwatch.com//grant/182648/grants-to-usa-nonprofits-for-profits-agencies-and-ihes-for-research-on-the-inclusion-of-individuals-with-disabilities.html,12/21/20
75,0,"Grants and In-Kind Support to USA Nonprofits, Agencies, and 
Tribes for Community Events that...","Grants of up to $20,000 and in-kind support to USA and territories nonprofit organizations, government agencies, and Tribes to host community events that promote reading. Funding is intended for events that provide discussions and creative activities centered around sp...",https://texas.grantwatch.com//grant/187206/grants-and-in-kind-support-to-usa-nonprofits-agencies-and-tribes-for-community-events-that-promote-reading.html,01/27/21
76,0,"Cooperative Agreements to USA and Puerto Rico Agencies, Nonprofits, 
For-Profits, Tribes, and...","Cooperative agreements to USA and Puerto Rico agencies, nonprofit and for-profits organizations, Tribal entities, and IHEs for projects to improve treatment for individuals with blood disorders. Applicants are advised that required registrations may take up to a month ...",https://texas.grantwatch.com//grant/192470/cooperative-agreements-to-usa-and-puerto-rico-agencies-nonprofits-for-profits-tribes-and-ihes-to-improve-treatment-of-blood-disorders.html,12/21/20
77,0,"Grants and Medical Data Access to USA 
Organizations for Research Projects",Grants and medical data access to USA and territories organizations for research on a range of topics. Applicants are required to submit a brief proposal prior to submitting a full proposal. Preference will be given to tax-exempt public entities and nonprofit organizat...,https://texas.grantwatch.com//grant/184689/grants-and-medical-data-access-to-usa-organizations-for-research-projects.html,"04/15/21
LOI Date: 12/17/20"
78,0,"Grants to USA Tribal Governments and Nonprofits 
to Support Self-Directed Food Systems","Grants of up to $32,000 to USA and territories tribal governments and nonprofit organizations for economic development and infrastructure building. The purpose of this program is to support self-directed and well-resourced food systems. Funding is intended to help stre...",https://texas.grantwatch.com//grant/187330/grants-to-usa-tribal-governments-and-nonprofits-to-support-self-directed-food-systems.html,01/14/21
79,0,"Cooperative Agreements to USA Nonprofits and For-Profits 
to Develop and Provide Remote Healt...","Cooperative agreements to USA nonprofit and for-profit entities, community-based and faith-based organizations, and tribes to develop and provide remote health services. Applicants are advised that required registrations may take up to one month to complete. Funding is...",https://texas.grantwatch.com//grant/193015/cooperative-agreements-to-usa-nonprofits-and-for-profits-to-develop-and-provide-remote-health-services.html,01/21/21
80,0,"Grants to USA States, Nonprofits, Agencies, Tribes, and 
IHEs for Volunteer Services to Benef...","Grants to USA states, nonprofit organizations, government agencies, tribes, and IHEs to employ volunteer staff to carry out a broad range of community services. Applicants must complete required registrations prior to submitting an application. Funding is available as ...",https://texas.grantwatch.com//grant/148449/grants-to-usa-states-nonprofits-agencies-tribes-and-ihes-for-volunteer-services-to-benefit-communities.html,2001/6/21
81,1,"Grants to USA Nonprofits, Agencies, and IHEs
to Preserve and Protect Natural Resources","Grants of up to $50,000 to USA nonprofit organizations, government agencies, tribes, and educational institutions to build community capacity to protect natural resources. Funding is intended to support a range of local partnerships working to enhance water quality, wa...",https://texas.grantwatch.com//grant/167420/grants-to-usa-nonprofits-agencies-and-ihes-to-preserve-and-protect-natural-resources.html,01/28/21
82,1,"Grants to USA Nonprofits, Agencies, and 
Tribes to Preserve Audio and Video Media","Grants of up to $50,000 to USA and Territories nonprofit cultural, academic, and research institutions, government agencies, and Indian Tribes to preserve significant audio and video media. Funding is intended to support the digital reformatting of media that is fragil...",https://texas.grantwatch.com//grant/187337/grants-to-usa-nonprofits-agencies-and-tribes-to-preserve-audio-and-video-media.html,01/29/21
83,0,"Competition for USA, Canada, and International Organizations
and Institutions for Solutions t...","Opportunity to participate in a contest for USA, Canada, and international organizations and institutions for effective solutions to water contamination. Winning entrants will receive prizes of $5,000, $10,000, or $25,000. Eligible solutions address the behaviors contr...",https://texas.grantwatch.com//grant/193327/competition-for-usa-canada-and-international-organizations-and-institutions-for-solutions-to-water-contamination.html,"01/10/21
LOI Date: 11/30/20"
84,0,"Grants to USA, Canada, and International Nonprofits
and Individuals to Research Photographic ...","Grants of up to $2,000 to USA, Canada, and International individuals and nonprofit organizations for research projects on women in photography worldwide or on Western American photography before 1900. Applications will be judged on the significance of the project to th...",https://texas.grantwatch.com//grant/182154/grants-to-usa-canada-and-international-nonprofits-and-individuals-to-research-photographic-history.html,11/23/20
85,0,"Grants to USA, Canada, and International Nonprofits 
and Social Enterprises for Health and Fi...","Grants to USA, Canada, and international nonprofit organizations and social enterprises for health and fitness initiatives. Funding is intended for projects on topics addressing healthy aging, such as mental well-being, prevention of non-communicable diseases, mobility...",https://texas.grantwatch.com//grant/192503/grants-to-usa-canada-and-international-nonprofits-and-social-enterprises-for-health-and-fitness-initiatives.html,11/23/20
86,0,"Grants to USA Conservation Groups and Agencies for
Land Conservation Projects Near Military I...",Grants to USA conservation groups and local and state agencies for land conservation projects near military installations. Applicants must contact program staff and submit a pre-proposal prior to applying. Funding is intended to limit incompatible land development near...,https://texas.grantwatch.com//grant/192773/grants-to-usa-conservation-groups-and-agencies-for-land-conservation-projects-near-military-installations.html,"03/22/21
LOI Date: 11/23/20"
87,1,"Grants to Texas Nonprofits and Agencies in Eligible
Areas to Enhance the Quality of Life in L...","Grants to Texas nonprofit organizations, special districts, and government entities in eligible areas for charitable programs and projects that enhance the quality of life for local residents. Priority funding is intended to support community-focused activities and ser...",https://texas.grantwatch.com//grant/192806/grants-to-texas-nonprofits-and-agencies-in-eligible-areas-to-enhance-the-quality-of-life-in-local-communities.html,11/23/20
88,0,"Grants to USA and International Organizations for Programs Benefiting 
Firefighters, EMS, Par...","Grants to USA and international organizations for programs benefiting current and former firefighters, EMS, paramedics, police officers, and their families. Applicants are required to submit an LOI prior to submitting a full proposal. Funding is intended for the expans...",https://texas.grantwatch.com//grant/193213/grants-to-usa-and-international-organizations-for-programs-benefiting-firefighters-ems-paramedics-police-officers-and-their-families.html,"02/06/21
LOI Date: 11/23/20"
89,0,"Grants to USA IHEs for Projects that Explore Religion and 
Faith Among Journalism Students or...","Grants of up to $45,000 to USA IHEs for collaborative projects that further the knowledge and understanding of religion among journalism students, departments, and professionals. Funding is intended to foster innovative scholarly projects that explore religion and huma...",https://texas.grantwatch.com//grant/193231/grants-to-usa-ihes-for-projects-that-explore-religion-and-faith-among-journalism-students-or-professionals.html,11/23/20
90,1,"In-Kind Technology Support to USA, Canada, and International K-12 
Schools and IHEs to Implem...","In-kind technology support to USA, Canada, and International K-12 schools and accredited institutions of higher education to implement a school-wide mobile application. Grant recipients will receive software, licenses, and support to provide a comprehensive service to ...",https://texas.grantwatch.com//grant/184268/in-kind-technology-support-to-usa-canada-and-international-k-schools-and-ihes-to-implement-a-school-wide-mobile-application.html,11/24/20
91,1,"In-Kind Donations to USA Institutions of Higher Education 
for Software to Manage Student and...",In-kind donations to USA institutions of higher education for software and services that will provide management for account identifications for students and staff. The opportunity is intended to help automate the onboarding and offboarding for computerized programs wh...,https://texas.grantwatch.com//grant/191013/in-kind-donations-to-usa-institutions-of-higher-education-for-software-to-manage-student-and-staff-users.html,11/24/20
92,0,"Grants to USA Nonprofits for Programs that Assist 
Veterans, Service Members, and their Famil...","Grants to USA nonprofit organizations for programs that assist veterans, military service members, and their families. Priority will be given to programs that address homelessness prevention, housing support, financial assistance, hunger relief, and case management, in...",https://texas.grantwatch.com//grant/193353/grants-to-usa-nonprofits-for-programs-that-assist-veterans-service-members-and-their-families.html,11/24/20
93,1,"Grants to USA and Israel Scientists for 
Collaborative Scientific Research Projects","Grants to USA scientists affiliated with nonprofit organizations, IHEs, for-profit organizations, and government agencies including school districts for collaborative research projects with Israel research partners. Funding is intended to support partnerships between I...",https://texas.grantwatch.com//grant/166923/grants-to-usa-and-israel-scientists-for-collaborative-scientific-research-projects.html,"01/12/21
Conference Date: 11/24/20"
94,0,"Grants to USA, Canada, and International 
Nonprofits to Address Antisemitism","Grants of up to $40,000 to USA, Canada, and International nonprofit organizations to address the issue of antisemitism across the globe. Applicants must submit a letter of intent before applying. Funding is intended to support the development of creative, grassroots, a...",https://texas.grantwatch.com//grant/182627/grants-to-usa-canada-and-international-nonprofits-to-address-antisemitism.html,"01/13/21
Conference Date: 11/24/20"
95,1,"Opportunity for USA Universities and Qualified Educational 
Institutions to Host a STEM Progr...",Opportunity for USA universities and other qualified educational institutions to host a STEM summer program for students. Programs provide mentoring and laboratory and research experience to eligible high school students. Host institutions will be responsible for progr...,https://texas.grantwatch.com//grant/193129/opportunity-for-usa-universities-and-qualified-educational-institutions-to-host-a-stem-program-for-high-school-students.html,"12/18/20
Conference Date: 11/24/20"
96,0,"Grants to USA Nonprofits, Schools, IHEs, and Agencies 
for Healthcare Education, Services, an...","Grants to USA nonprofits, public schools and IHEs, agencies, hospitals, and Indian tribal governments for programs that benefit the medical and scientific community, public health, and patients. Requests must be consistent with a technological or therapeutic area in wh...",https://texas.grantwatch.com//grant/164283/grants-to-usa-nonprofits-schools-ihes-and-agencies-for-healthcare-education-services-and-outreach.html,11/25/20
